student_id,assignment_id,sample_count,mean_yaw,mean_pitch,mean_roll,focused_ratio
12,4,28,-5.45,-5.82,7.6,0.6071
12,5,22,-8.84,0.13,-9.65,0.3182
12,6,20,7.31,0.53,-27.17,0.6
12,7,22,-1.9,-1.01,39.69,0.3182
13,4,27,5.11,4.06,-5.76,0.4815
13,5,27,2.02,0.84,-27.39,0.5556
13,6,35,6.51,6.07,-22.62,0.5143
13,7,41,-4.32,4.19,15.87,0.561
14,4,31,-1.41,-0.08,-23.98,0.6129
14,5,35,-5.97,0.11,-5.02,0.4857
14,6,42,0.9,1.55,2.12,0.619
14,7,33,9.29,-4.53,-5.33,0.4545
15,4,44,1.72,0.14,-6.36,0.6818
15,5,24,3.46,1.15,23.07,0.7917
15,6,23,-2.12,-0.05,0.18,0.7826
15,7,32,-2.1,-6.73,2.6,0.75
16,4,20,11.21,-5.23,-34.44,0.55
16,5,26,0.12,3.4,-9.39,0.5385
16,6,40,-4.72,-2.29,17.1,0.725
16,7,45,6.79,-6.05,-4.55,0.6667
17,4,32,1.6,3.33,-16.68,0.875
17,5,32,3.3,2.52,-8.98,0.5625
17,6,38,-0.72,-2.48,-10.25,1.0
17,7,28,2.85,-4.19,26.72,0.7857
18,4,42,-4.03,2.66,-7.69,0.3571
18,5,37,2.37,-0.96,-50.83,0.2703
18,6,42,5.49,2.06,-16.41,0.4524
18,7,38,3.08,4.27,2.05,0.7105
19,4,34,-2.0,-1.58,-2.65,0.5294
19,5,31,3.63,2.89,-2.01,0.5484
19,6,22,-4.71,-0.46,-15.48,0.4091
19,7,34,0.36,0.76,0.1,0.5588
20,4,33,1.73,0.96,-2.81,0.3939
20,5,30,-2.04,7.64,10.76,0.2
20,6,25,-3.05,0.96,-40.4,0.32
20,7,21,3.03,-5.99,-6.49,0.381
21,4,32,-0.93,-8.44,-11.46,0.5938
21,5,40,-0.9,0.82,-23.33,0.4
21,6,32,-1.21,1.11,-0.97,0.625
21,7,25,5.82,2.61,25.43,0.6
22,4,31,-4.13,-1.13,13.21,0.8065
22,5,44,2.61,4.8,6.54,0.6136
22,6,24,-7.4,-3.04,-4.16,0.75
22,7,33,5.12,-2.31,7.31,0.7273
23,4,41,5.97,6.23,-9.19,0.4634
23,5,35,2.01,-0.68,14.52,0.7143
23,6,44,1.72,5.69,-6.22,0.5227
23,7,25,2.69,-3.98,-21.84,0.4
24,4,45,3.24,-3.45,-16.05,0.4667
24,5,30,-1.8,1.79,-22.42,0.5333
24,6,27,-0.2,-2.13,-14.15,0.6296
24,7,26,-1.61,0.87,18.1,0.5385
25,4,43,0.7,0.56,-12.86,0.8372
25,5,28,-8.01,2.71,4.43,0.7857
25,6,28,0.6,0.47,-23.38,0.7857
25,7,45,-2.88,0.45,-3.1,0.8889
26,4,31,-3.65,-1.37,-9.09,0.6774
26,5,20,2.69,2.44,47.54,0.9
26,6,22,-3.18,1.89,48.45,0.7273
26,7,36,3.36,1.9,-4.52,0.6944
27,4,42,11.86,-1.01,3.52,0.5714
27,5,34,2.23,-2.11,-9.08,0.6176
27,6,43,4.76,-0.57,2.1,0.5116
27,7,26,-8.41,-6.77,-18.77,0.5385
28,4,26,3.86,0.47,5.38,0.7308
28,5,27,-4.62,3.8,-9.1,0.8148
28,6,33,-5.14,-3.31,-9.71,0.5455
28,7,29,5.12,-6.05,0.98,0.7931
29,4,24,0.27,1.03,-7.29,0.9167
29,5,37,0.73,3.62,-16.13,0.7838
29,6,32,-4.82,-0.87,17.18,0.7812
29,7,22,0.2,-1.59,-26.0,0.7273
30,4,25,0.23,-1.52,19.98,0.4
30,5,20,-2.79,-6.52,21.06,0.65
30,6,24,-2.59,1.45,29.94,0.4167
30,7,35,6.93,2.28,-16.69,0.3143
31,4,31,1.89,2.1,-19.22,0.7419
31,5,29,2.35,0.5,-15.52,0.7931
31,6,41,4.56,-1.61,0.33,0.8293
31,7,40,2.6,1.41,15.83,0.675
32,4,41,3.66,0.84,-21.37,0.7317
32,5,40,6.55,2.58,16.61,0.825
32,6,33,-5.96,-2.77,2.39,0.697
32,7,30,-3.16,1.0,11.96,0.8667
33,4,44,-1.29,-3.01,-18.84,0.5455
33,5,31,-3.73,1.11,5.12,0.5806
33,6,23,0.48,-5.39,-29.13,0.4348
33,7,39,9.04,-0.75,-18.08,0.4872
34,4,38,0.51,4.61,17.87,0.5263
34,5,41,-1.16,0.83,5.52,0.561
34,6,44,-5.73,1.28,9.58,0.4318
34,7,26,-13.96,-1.68,-1.56,0.3846
35,4,35,-1.68,-1.26,-19.09,0.8857
35,5,22,-0.4,-0.2,-26.54,0.9545
35,6,31,1.3,0.18,-17.48,0.9355
35,7,43,-1.32,-2.06,1.52,0.7674
36,4,33,0.57,1.58,22.8,0.6667
36,5,28,-2.39,-1.47,0.47,0.5714
