timestamp,user_id,material_id,engagement_score,session_duration_s,signal_length,sampling_rate_hz,mean,std,max,min,energy,power,zero_crossings,zcr,dominant_freq_hz,spectral_centroid,reading_ratio,idle_ratio,skimming_ratio,base_score,energy_bonus,zcr_bonus,final_score,filter_type,filter_order,scipy_available,scroll_engagement_score
2026-02-24T17:54:11.375,12,2,48.97,200,200,1.0,192.91,290.27,519.31,0.0,769.01,769.01,59,0.298,0.0228,0.1822,0.3238,0.4611,0.2151,19.43,19.23,14.9,53.55,FIR_moving_average,5,True,48.97
2026-02-24T17:11:56.375,12,2,48.97,59,59,1.0,190.56,327.64,589.13,0.0,795.34,795.34,12,0.2165,0.0945,0.1345,0.303,0.4629,0.2341,18.18,19.88,10.82,48.89,FIR_moving_average,5,True,48.97
2026-02-24T14:00:22.375,12,3,50.45,114,114,1.0,182.08,349.67,740.2,0.0,724.29,724.29,33,0.2925,0.045,0.1633,0.3684,0.3562,0.2754,22.11,18.11,14.63,54.84,FIR_moving_average,5,True,50.45
2026-02-24T21:19:49.375,13,2,46.17,183,183,1.0,181.35,201.83,915.22,0.0,509.89,509.89,46,0.2521,0.0973,0.143,0.2825,0.3089,0.4086,16.95,12.75,12.61,42.3,FIR_moving_average,5,True,46.17
2026-02-24T09:07:01.375,13,3,43.55,85,85,1.0,196.74,318.32,829.21,0.0,463.68,463.68,24,0.2858,0.0952,0.1944,0.3521,0.4275,0.2204,21.12,11.59,14.29,47.01,FIR_moving_average,5,True,43.55
2026-02-24T22:36:46.375,13,3,43.55,47,47,1.0,186.89,327.68,635.35,0.0,920.46,920.46,13,0.289,0.0678,0.1785,0.312,0.2458,0.4422,18.72,23.01,14.45,56.18,FIR_moving_average,5,True,43.55
2026-02-24T17:14:23.375,14,2,41.76,171,171,1.0,177.37,413.84,656.31,0.0,709.83,709.83,37,0.2181,0.0465,0.1982,0.2495,0.2765,0.474,14.97,17.75,10.9,43.62,FIR_moving_average,5,True,41.76
2026-02-24T23:13:48.375,14,2,41.76,113,113,1.0,165.61,455.5,523.58,0.0,459.62,459.62,29,0.2583,0.0378,0.1274,0.3634,0.2847,0.3518,21.81,11.49,12.92,46.21,FIR_moving_average,5,True,41.76
2026-02-24T16:36:13.375,14,3,55.63,146,146,1.0,222.16,289.27,936.92,0.0,663.71,663.71,41,0.2828,0.0759,0.1883,0.385,0.2745,0.3404,23.1,16.59,14.14,53.84,FIR_moving_average,5,True,55.63
2026-02-24T09:29:58.375,14,3,55.63,105,105,1.0,219.35,493.99,729.73,0.0,846.59,846.59,22,0.2112,0.0334,0.1878,0.4376,0.1955,0.3669,26.25,21.16,10.56,57.98,FIR_moving_average,5,True,55.63
2026-02-25T00:00:19.375,15,2,65.04,155,155,1.0,213.41,436.25,844.19,0.0,761.52,761.52,45,0.295,0.0316,0.1715,0.447,0.2841,0.2689,26.82,19.04,14.75,60.61,FIR_moving_average,5,True,65.04
2026-02-24T06:46:47.375,15,3,69.74,139,139,1.0,241.75,305.79,587.04,0.0,1103.44,1103.44,39,0.2866,0.0589,0.1357,0.429,0.3745,0.1965,25.74,25,14.33,65.07,FIR_moving_average,5,True,69.74
2026-02-24T07:41:45.375,16,2,64.73,110,110,1.0,242.73,263.81,663.72,0.0,708.41,708.41,29,0.2684,0.0304,0.185,0.5152,0.2062,0.2786,30.91,17.71,13.42,62.04,FIR_moving_average,5,True,64.73
2026-02-25T00:03:14.375,16,3,58.54,55,55,1.0,208.78,460.81,748.28,0.0,824.58,824.58,14,0.2614,0.0762,0.1554,0.3879,0.2877,0.3245,23.27,20.61,13.07,56.96,FIR_moving_average,5,True,58.54
2026-02-24T16:43:04.375,17,2,69.37,63,63,1.0,229.02,312.82,896.93,0.0,1100.52,1100.52,19,0.3155,0.0336,0.1925,0.5061,0.1925,0.3014,30.37,25,14.23,69.59,FIR_moving_average,5,True,69.37
2026-02-25T03:36:41.375,17,2,69.37,56,56,1.0,220.67,378.67,670.14,0.0,986.62,986.62,16,0.2968,0.0305,0.1214,0.5371,0.2476,0.2152,32.23,24.67,14.84,71.73,FIR_moving_average,5,True,69.37
2026-02-24T11:22:40.375,17,3,71.88,204,204,1.0,235.38,286.25,825.28,0.0,1050.59,1050.59,61,0.3009,0.0451,0.1789,0.5206,0.2578,0.2216,31.23,25,14.96,71.19,FIR_moving_average,5,True,71.88
2026-02-24T18:54:50.375,18,2,38.96,179,179,1.0,193.51,298.58,854.99,0.0,670.12,670.12,47,0.2679,0.0414,0.1616,0.2672,0.3482,0.3846,16.03,16.75,13.4,46.18,FIR_moving_average,5,True,38.96
2026-02-24T09:27:51.375,18,2,38.96,162,162,1.0,181.27,419.34,804.6,0.0,415.27,415.27,40,0.248,0.0907,0.1877,0.2076,0.5048,0.2876,12.46,10.38,12.4,35.24,FIR_moving_average,5,True,38.96
2026-02-24T16:18:42.375,18,3,51.63,65,65,1.0,219.21,338.64,963.12,0.0,946.24,946.24,16,0.2498,0.0776,0.1623,0.3297,0.3642,0.3061,19.78,23.66,12.49,55.93,FIR_moving_average,5,True,51.63
2026-02-24T09:01:01.375,19,2,60.91,237,237,1.0,236.77,356.92,695.61,0.0,1006.5,1006.5,66,0.2814,0.0571,0.1266,0.4067,0.3655,0.2279,24.4,25,14.07,63.47,FIR_moving_average,5,True,60.91
2026-02-24T13:20:27.375,19,2,60.91,215,215,1.0,235.78,234.22,540.96,0.0,714.06,714.06,47,0.2217,0.0321,0.1989,0.4827,0.2872,0.23,28.96,17.85,11.09,57.9,FIR_moving_average,5,True,60.91
2026-02-25T01:01:58.375,19,3,53.34,243,243,1.0,219.52,421.37,808.6,0.0,539.08,539.08,70,0.2914,0.0925,0.1973,0.4791,0.2264,0.2945,28.74,13.48,14.57,56.79,FIR_moving_average,5,True,53.34
2026-02-25T02:16:26.375,19,3,53.34,214,214,1.0,188.56,294.69,780.14,0.0,767.41,767.41,52,0.2434,0.0483,0.1538,0.3527,0.2215,0.4258,21.16,19.19,12.17,52.52,FIR_moving_average,5,True,53.34
2026-02-25T04:16:54.375,20,2,44.19,52,52,1.0,198.56,339.4,874.5,0.0,598.44,598.44,9,0.1884,0.0792,0.1735,0.3991,0.3795,0.2213,23.95,14.96,9.42,48.33,FIR_moving_average,5,True,44.19
2026-02-24T10:01:26.375,20,2,44.19,79,79,1.0,178.03,375.35,505.22,0.0,451.89,451.89,18,0.2378,0.0963,0.1626,0.3069,0.3946,0.2985,18.42,11.3,11.89,41.6,FIR_moving_average,5,True,44.19
2026-02-24T10:18:37.375,20,3,42.08,108,108,1.0,165.85,217.72,765.56,0.0,782.55,782.55,23,0.2134,0.0844,0.1838,0.2682,0.255,0.4768,16.09,19.56,10.67,46.32,FIR_moving_average,5,True,42.08
2026-02-24T09:53:45.375,20,3,42.08,158,158,1.0,192.75,261.98,534.84,0.0,570.47,570.47,38,0.2412,0.0409,0.1758,0.3375,0.4318,0.2307,20.25,14.26,12.06,46.58,FIR_moving_average,5,True,42.08
2026-02-24T20:03:19.375,21,2,55.19,223,223,1.0,219.2,320.28,622.67,0.0,771.84,771.84,59,0.2661,0.0418,0.1839,0.3294,0.2387,0.4319,19.76,19.3,13.3,52.36,FIR_moving_average,5,True,55.19
2026-02-24T05:40:33.375,21,2,55.19,45,45,1.0,224.04,329.06,683.36,0.0,824.18,824.18,15,0.3416,0.096,0.156,0.4316,0.313,0.2554,25.9,20.6,12.92,59.42,FIR_moving_average,5,True,55.19
2026-02-25T05:06:24.375,21,3,50.2,52,52,1.0,203.12,307.12,894.93,0.0,794.39,794.39,14,0.276,0.0204,0.1504,0.3265,0.3033,0.3703,19.59,19.86,13.8,53.25,FIR_moving_average,5,True,50.2
2026-02-24T10:17:47.375,22,2,62.16,198,198,1.0,205.45,247.52,797.25,0.0,1077.11,1077.11,50,0.2556,0.0997,0.172,0.5603,0.2794,0.1603,33.62,25,12.78,71.4,FIR_moving_average,5,True,62.16
2026-02-24T17:54:33.375,22,3,61.6,31,31,1.0,213.4,220.61,852.4,0.0,804.86,804.86,8,0.2603,0.0471,0.1228,0.4671,0.271,0.2619,28.02,20.12,13.02,61.16,FIR_moving_average,5,True,61.6
2026-02-25T04:06:58.375,22,3,61.6,56,56,1.0,211.39,360.62,909.07,0.0,933.3,933.3,15,0.273,0.0927,0.1528,0.4869,0.3487,0.1645,29.21,23.33,13.65,66.2,FIR_moving_average,5,True,61.6
2026-02-24T12:17:41.375,23,2,43.82,39,39,1.0,167.97,242.81,709.85,0.0,711.63,711.63,11,0.293,0.048,0.1947,0.4421,0.3167,0.2412,26.53,17.79,14.65,58.97,FIR_moving_average,5,True,43.82
2026-02-25T04:29:29.375,23,3,57.74,97,97,1.0,204.68,295.1,605.71,0.0,954.89,954.89,28,0.2893,0.0119,0.1529,0.4019,0.2072,0.3909,24.11,23.87,14.46,62.45,FIR_moving_average,5,True,57.74
2026-02-25T03:30:37.375,24,2,55.42,96,96,1.0,211.07,429.06,639.11,0.0,900.23,900.23,26,0.2794,0.0652,0.1563,0.3382,0.3645,0.2974,20.29,22.51,13.97,56.76,FIR_moving_average,5,True,55.42
2026-02-24T17:03:51.375,24,2,55.42,99,99,1.0,224.1,298.6,874.31,0.0,729.5,729.5,27,0.2744,0.0508,0.1877,0.3886,0.3679,0.2435,23.32,18.24,13.72,55.28,FIR_moving_average,5,True,55.42
2026-02-24T15:05:50.375,24,3,49.92,146,146,1.0,218.23,495.54,894.42,0.0,902.22,902.22,35,0.2458,0.0782,0.1871,0.3574,0.4416,0.2011,21.44,22.56,12.29,56.29,FIR_moving_average,5,True,49.92
2026-02-24T16:31:26.375,25,2,68.24,81,81,1.0,236.77,261.66,734.95,0.0,977.72,977.72,23,0.2905,0.0687,0.1487,0.3996,0.4076,0.1928,23.98,24.44,14.53,62.95,FIR_moving_average,5,True,68.24
2026-02-24T13:13:29.375,25,3,58.62,149,149,1.0,201.01,415.24,802.52,0.0,1000.9,1000.9,44,0.2958,0.066,0.129,0.3405,0.3164,0.3431,20.43,25,14.79,60.22,FIR_moving_average,5,True,58.62
2026-02-24T12:11:58.375,26,2,63.31,35,35,1.0,245.42,477.15,533.91,0.0,831.05,831.05,8,0.2459,0.0863,0.189,0.4333,0.2935,0.2731,26.0,20.78,12.3,59.07,FIR_moving_average,5,True,63.31
