user_id,material_id,full_name,avg_engagement_score,quiz_score,engagement_sessions,quiz_submissions
12,2,Student 1,48.97,30.83,2,2
12,3,Student 1,50.45,39.56,1,2
13,2,Student 2,46.17,40.59,1,2
13,3,Student 2,43.55,38.89,2,2
14,2,Student 3,41.76,38.83,2,2
14,3,Student 3,55.63,50.85,2,2
15,2,Student 4,65.04,76.69,1,2
15,3,Student 4,69.74,77.54,1,2
16,2,Student 5,64.73,76.82,1,2
16,3,Student 5,58.54,72.56,1,2
17,2,Student 6,69.37,87.91,2,2
17,3,Student 6,71.88,87.16,1,2
18,2,Student 7,38.96,36.34,2,2
18,3,Student 7,51.63,37.1,1,2
19,2,Student 8,60.91,57.72,2,2
19,3,Student 8,53.34,51.02,2,2
20,2,Student 9,44.19,26.51,2,2
20,3,Student 9,42.08,34.27,2,2
21,2,Student 10,55.19,51.14,2,2
21,3,Student 10,50.2,49.45,1,2
22,2,Student 11,62.16,67.58,1,2
22,3,Student 11,61.6,65.85,2,2
23,2,Student 12,43.82,34.84,1,2
23,3,Student 12,57.74,34.23,1,2
24,2,Student 13,55.42,51.17,2,2
24,3,Student 13,49.92,50.8,1,2
25,2,Student 14,68.24,71.56,1,2
25,3,Student 14,58.62,87.01,1,2
26,2,Student 15,63.31,63.12,2,2
26,3,Student 15,66.94,67.38,2,2
27,2,Student 16,52.15,37.1,1,2
27,3,Student 16,54.46,46.53,2,2
28,2,Student 17,64.42,66.62,1,2
28,3,Student 17,55.08,55.0,2,2
29,2,Student 18,70.06,79.44,2,2
29,3,Student 18,55.21,72.46,2,2
30,2,Student 19,49.77,31.56,1,2
30,3,Student 19,38.71,32.62,2,2
31,2,Student 20,60.27,77.04,1,2
31,3,Student 20,70.4,84.81,1,2
32,2,Student 21,68.08,77.7,1,2
32,3,Student 21,61.49,85.19,1,2
33,2,Student 22,54.5,53.58,1,2
33,3,Student 22,43.98,45.99,2,2
34,2,Student 23,43.59,53.0,2,2
34,3,Student 23,45.88,35.11,2,2
35,2,Student 24,75.0,87.49,1,2
35,3,Student 24,75.0,88.0,2,2
36,2,Student 25,54.41,57.39,2,2
36,3,Student 25,41.28,52.21,2,2
37,2,Student 26,62.83,50.69,1,2
37,3,Student 26,51.04,41.14,2,2
38,2,Student 27,47.12,38.95,2,2
38,3,Student 27,50.38,33.97,2,2
39,2,Student 28,70.96,88.03,1,2
39,3,Student 28,66.32,77.66,2,2
40,2,Student 29,63.19,68.11,1,2
40,3,Student 29,61.3,74.22,1,2
41,2,Student 30,73.87,76.39,1,2
41,3,Student 30,75.0,84.76,1,2
