variation,weight_reading,weight_energy,weight_zcr,pearson_r
"R:0.9,E:0.9,Z:0.9",60.0,25.0,15.0,0.7222
"R:0.9,E:0.9,Z:1.0",59.0,24.6,16.4,0.7233
"R:0.9,E:0.9,Z:1.1",58.1,24.2,17.7,0.7241
"R:0.9,E:1.0,Z:0.9",58.4,27.0,14.6,0.7187
"R:0.9,E:1.0,Z:1.0",57.4,26.6,16.0,0.7198
"R:0.9,E:1.0,Z:1.1",56.5,26.2,17.3,0.7207
"R:0.9,E:1.1,Z:0.9",56.8,28.9,14.2,0.7148
"R:0.9,E:1.1,Z:1.0",56.0,28.5,15.5,0.716
"R:0.9,E:1.1,Z:1.1",55.1,28.1,16.8,0.717
"R:1.0,E:0.9,Z:0.9",62.5,23.4,14.1,0.7241
"R:1.0,E:0.9,Z:1.0",61.5,23.1,15.4,0.7251
"R:1.0,E:0.9,Z:1.1",60.6,22.7,16.7,0.726
"R:1.0,E:1.0,Z:0.9",60.9,25.4,13.7,0.7212
"R:1.0,E:1.0,Z:1.0",60.0,25.0,15.0,0.7222
"R:1.0,E:1.0,Z:1.1",59.1,24.6,16.3,0.7232
"R:1.0,E:1.1,Z:0.9",59.4,27.2,13.4,0.7179
"R:1.0,E:1.1,Z:1.0",58.5,26.8,14.6,0.719
"R:1.0,E:1.1,Z:1.1",57.7,26.4,15.9,0.72
"R:1.1,E:0.9,Z:0.9",64.7,22.1,13.2,0.7253
"R:1.1,E:0.9,Z:1.0",63.8,21.7,14.5,0.7263
"R:1.1,E:0.9,Z:1.1",62.9,21.4,15.7,0.7272
"R:1.1,E:1.0,Z:0.9",63.2,23.9,12.9,0.7229
"R:1.1,E:1.0,Z:1.0",62.3,23.6,14.2,0.724
"R:1.1,E:1.0,Z:1.1",61.4,23.3,15.3,0.7249
"R:1.1,E:1.1,Z:0.9",61.7,25.7,12.6,0.7202
"R:1.1,E:1.1,Z:1.0",60.8,25.3,13.8,0.7213
"R:1.1,E:1.1,Z:1.1",60.0,25.0,15.0,0.7222
